Feature,61601,61602,61603,63896,63897,63899
高度(mm),1698,1698,1698,1698,1698,1698
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机
驱动方式,,,,,,
风阻系数(Cd),0.25,0.25,0.25,0.25,0.25,0.25
陡坡缓降,●,●,●,●,●,●
长度(mm),4955,4955,4955,4955,4955,4955
长*宽*高(mm),4955*1967*1698,4955*1967*1698,4955*1967*1698,4955*1967*1698,4955*1967*1698,4955*1967*1698
钥匙类型,,,,,,
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
辅助驾驶等级,,,,,,
轴距(mm),3000,3000,3000,3000,3000,3000
轮圈材质,,,,,,
转向头灯,●,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-
车载智能系统,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,宝马iX 2023款 xDrive40,宝马iX 2023款 xDrive50,宝马iX 2023款 M60,宝马iX 2023款 改款 xDrive50,宝马iX 2023款 改款 M60,宝马iX 2023款 改款 xDrive40
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
自动变道辅助,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
第二排座椅功能,,,,,,
空调温度控制方式,,,,,,
空气悬架,-,●,●,-,●,-
离去角(°),21,21,21,21,21,21
百公里耗电量(kWh/100km),18,18,19.1,18,19.3,17.7
疲劳驾驶提示,●,●,●,●,●,●
电芯品牌,,,,,,
电能当量燃料消耗量(L/100km),2.04,2.09,2.16,2.09,2.16,2.04
电池预加热,●,●,●,●,●,●
电池能量(kWh),76.6,111.5,111.5,111.5,111.5,76.6
电池类型,,,,,,
电池慢充时间(小时)_y,7.5,11,10.75,11,5.5,7.5
电池慢充时间(小时)_x,7.5,11,10.75,11,5.5,7.5
电池快充电量范围(%)_y,80,80,80,80,80,80
电池快充电量范围(%)_x,80,80,80,80,80,80
电池快充时间(小时)_y,0.68,0.82,0.82,0.82,0.82,0.68
电池快充时间(小时)_x,0.68,0.82,0.82,0.82,0.82,0.68
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,-,-,-,-,-,-
电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机总扭矩(N·m),630,765,1100,765,1100,630
电动机总功率(kW),240,385,455,385,455,240
电动机总功率(Ps),326,524,619,524,619,326
电动机(Ps),326,524,619,524,619,326
电动座椅记忆功能,,,,,,
电动吸合车门,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
热泵空调,●,●,●,●,●,●
满载最小离地间隙(mm),180,180,180,180,180,180
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
最高车速(km/h),200,200,250,200,250,200
最小转弯半径(m),6.4,6.4,6.4,6.4,6.4,6.4
最大满载质量(kg),3010,3145,3160,3145,3160,3010
最大扭矩(N·m),630,765,1100,765,1100,630
最大功率(kW),240,385,455,385,455,240
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
无框设计车门,●,●,●,●,●,●
方向盘记忆,○,○,●,○,●,○
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,○,○,●,○,●,○
方向盘位置调节,,,,,,
整车质保,,,,,,
整备质量(kg),2428,2558,2621,2558,2621,2428
整体主动转向系统,-,●,●,-,●,-
接近角(°),19,19,19,19,19,19
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,,,,,,
手机无线充电功能,,,,,,
手机互联/映射,,,,,,
手机APP远程功能,,,,,,
感应雨刷功能,,,,,,
感应后备厢,○,●,●,●,●,○
快充功能,支持,支持,支持,支持,支持,支持
循迹倒车,●,●,●,●,●,●
座椅材质,,,,,,
座位数(个),,,,,,
并线辅助,●,●,●,●,●,●
巡航系统,,,,,,
导航路况信息显示,●,●,●,●,●,●
宽度(mm),1967,1967,1967,1967,1967,1967
官方0-100km/h加速(s),6.1,4.6,3.8,4.6,3.8,6.1
安全带未系提醒,,,,,,
天窗类型,,,,,,
大灯高度可调,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,,,,,,
四驱形式,,,,,,
后雨刷,●,●,●,●,●,●
后轮距(mm),-,-,-,-,-,-
后轮胎规格,,,,,,
后排独立空调,●,●,●,●,●,●
后排杯架,●,●,●,●,●,●
后排座椅放倒形式,,,,,,
后悬架类型,,,,,,
后座出风口,●,●,●,●,●,●
后备厢容积(L),500-1750,500-1750,500-1750,500-1750,500-1750,500-1750
后制动器类型,,,,,,
可变悬架功能,-,,,-,,-
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),74.69万,86.89万,99.42万,84.69万,100.99万,74.69万
厂商,宝马(进口),宝马(进口),宝马(进口),宝马(进口),宝马(进口),宝马(进口)
卫星导航系统,●,●,●,●,●,●
助力类型,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-
副座椅调节方式,,,,,,
前轮距(mm),-,-,-,-,-,-
前轮胎规格,,,,,,
前电动机最大扭矩(N·m),-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-
前方碰撞预警,●,●,●,●,●,●
前排座椅功能,,,,,,
前悬架类型,,,,,,
前制动器类型,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●
内置行车记录仪,●,●,●,●,●,●
内后视镜功能,,,,,,
全液晶仪表盘,●,●,●,●,●,●
倒车车侧预警系统,●,●,●,●,●,●
低速行车警告,●,●,●,●,●,●
主座椅调节方式,,,,,,
主动刹车/主动安全系统,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,
中控屏幕尺寸,,,,,,
上市时间,2023.02,2023.02,2023.02,2023.07,2023.07,2023.07
上坡辅助,●,●,●,●,●,●
三电系统质保,,,,,,
USB/Type-C接口数量,,,,,,
OTA升级,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●
HUD抬头数字显示,●,●,●,●,●,●
ETC装置,○,○,○,○,○,○
CLTC纯电续航里程(km)_y,471,665,640,665,625,471
CLTC纯电续航里程(km)_x,471,665,640,665,625,471
AR实景导航,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●
4G/5G网络,,,,,,
