Feature,56536,56772,57349,57550,60573,61822
高度(mm),1636,1636,1636,1636,1636,1636
驾驶辅助影像,,,,-,,
驾驶模式切换,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,双电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,双电机四驱,后置后驱,后置后驱,后置后驱
首任车主质保政策,-,-,-,-,-,-
面部识别,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●
长度(mm),4270,4270,4300,4270,4270,4270
长*宽*高(mm),4270*1822*1636,4270*1822*1636,4300*1822*1636,4270*1822*1636,4270*1822*1636,4270*1822*1636
钥匙类型,,,,,,
遥控泊车,●,-,●,-,●,-
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,-,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,●,-,-,-
辅助驾驶等级,,,,-,,
轴距(mm),2750,2750,2750,2750,2750,2750
轮圈材质,,,,,,
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,-,●,●
车道偏离预警系统,●,●,●,-,●,●
车道保持辅助系统,●,●,●,-,●,●
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车机智能芯片,,,,,,
车型名称,smart精灵#1 2022款 Premium版,smart精灵#1 2022款 Pro+版,smart精灵#1 2022款 BRABUS性能版,smart精灵#1 2022款 Pure+版,smart精灵#1 2022款 Pulse心动版,2023款 Pro版
车前雾灯,-,-,-,-,-,-
车内香氛装置,●,-,●,-,●,-
车内环境氛围灯,,,,-,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
负离子发生器,-,-,-,-,-,-
语音识别控制系统,,,,,,
触摸式阅读灯,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,●,●,●,-,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,-,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,-,●,-,●,-
自动头灯,●,●,●,●,●,●
自动变道辅助,●,-,●,-,●,-
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-,-,-
第二排座椅调节,,,,-,,
第二排座椅电动调节,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-
空载最小离地间隙(mm),182,181,182,181,182,181
空调温度控制方式,,,,,,
空气悬架,-,-,-,-,-,-
离去角(°),30.5,30.5,29.5,30.5,30.5,30.5
百公里耗电量(kWh/100km),13,13.4,14.8,13.4,13.4,-
疲劳驾驶提示,●,-,●,-,●,-
电芯品牌,威睿电动,威睿电动,威睿电动,威睿电动,威睿电动,瑞浦能源
电能当量燃料消耗量(L/100km),1.47,1.52,1.67,1.52,1.52,-
电磁感应悬架,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●
电池能量密度(Wh/kg),184.4,184.4,184.4,184.4,184.4,-
电池能量(kWh),66,66,66,66,66,49
电池组质保,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,前置+后置,后置,后置,后置
电动机总扭矩(N·m),343,343,543,343,343,343
电动机总功率(kW),200,200,315,200,200,200
电动机总功率(Ps),272,272,428,272,272,272
电动机(Ps),272,272,428,272,272,272
电动扰流板,-,-,-,-,-,-
电动座椅记忆功能,,,,-,,
电动吸合车门,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,-,●,●
电动后备厢,●,●,●,-,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
热泵空调,●,○,●,-,●,-
灯光特色功能,,-,,-,-,-
温度分区控制,●,●,●,-,●,●
液晶仪表尺寸,,,,,,
毫米波雷达数量,,,,-,,
最高车速(km/h),180,180,180,180,180,180
最大满载质量(kg),2190,2160,2290,2160,2160,2140
最大扭矩(N·m),343,343,543,343,343,343
最大功率(kW),200,200,315,200,200,200
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
无框设计车门,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,○,○,●,-,○,○
方向盘位置调节,,,,,,
整车质保,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里
整备质量(kg),1800,1770,1900,1770,1770,1750
摄像头数量,,,,-,,
接近角(°),18.2,18.2,16.1,18.2,18.2,18.2
换电,不支持,不支持,不支持,不支持,不支持,不支持
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,,-,,-,,-
手机无线充电功能,,-,,-,,-
手机互联/映射,-,-,-,-,-,-
手机APP远程功能,,,,,,
手势控制,-,-,-,-,-,-
慢充时间(小时)_y,7.5,7.5,7.5,7.5,7.5,5.5
慢充时间(小时)_x,7.5,7.5,7.5,7.5,7.5,5.5
感应雨刷功能,,,,-,,
感应后备厢,●,-,●,-,●,-
快充电量百分比,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80
快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5
快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5
快充功能,支持,支持,支持,支持,支持,支持
快充功率(kW),150,150,150,150,150,150
座椅材质,,,,,,
座位数(个),5,5,5,5,5,5
并线辅助,●,-,●,-,●,-
巡航系统,,,,,,
导航路况信息显示,●,●,●,●,●,●
对外放电,●,●,●,●,●,●
宽度(mm),1822,1822,1822,1822,1822,1822
实测100-0km/h制动(m),36.23,-,-,-,-,-
实测0-100km/h加速(s),5.76,-,-,-,-,-
官方0-100km/h加速(s),6.7,6.7,3.9,6.7,6.7,6.7
安全带未系提醒,,,,,,
天窗类型,,,,-,,
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●
多层隔音玻璃,-,-,-,-,-,-
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,补胎工具,补胎工具,仅补胎工具,仅补胎工具,补胎工具,补胎工具
地图品牌,,,,,,
四驱形式,-,-,电动四驱,-,-,-
后风挡遮阳帘,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●
后轮距(mm),1590,1586,1590,1586,1590,1586
后轮胎规格,235/45 R19,235/50 R18,235/45 R19,235/50 R18,235/45 R19,235/50 R18
后电动机最大扭矩(N·m),343,343,343,343,343,343
后电动机最大功率(kW),200,200,200,200,200,200
后排独立空调,-,-,-,-,-,-
后排液晶屏幕,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-
后排座椅放倒形式,,,,,,
后排小桌板,-,-,-,-,-,-
后排侧隐私玻璃,●,-,●,-,●,-
后排侧窗遮阳帘,-,-,-,-,-,-
后悬架类型,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架
后座出风口,●,●,●,●,●,●
后备厢容积(L),323-986,323-986,323-986,323-986,323-986,323-986
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),24.50万,20.92万,27.90万,19.42万,22.90万,17.90万
厂商,smart,smart,smart,smart,smart,smart
卫星导航系统,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
加热/制冷杯架,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-
副座椅调节方式,,,,,,
前轮距(mm),1585,1581,1585,1581,1585,1581
前轮胎规格,235/45 R19,235/50 R18,235/45 R19,235/50 R18,235/45 R19,235/50 R18
前电动机最大扭矩(N·m),-,-,200,-,-,-
前电动机最大功率(kW),-,-,115,-,-,-
前方碰撞预警,●,●,●,-,●,●
前排座椅功能,,,,-,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-
前备厢容积(L),15,15,15,15,15,15
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-
内后视镜功能,,,,,,
全液晶仪表盘,●,●,●,●,●,●
倒车车侧预警系统,●,-,●,-,●,-
低速行车警告,●,●,●,●,●,●
主座椅调节方式,,,,,,
主动降噪,-,-,-,-,-,-
主动闭合式进气格栅,●,●,●,●,●,●
主动刹车/主动安全系统,●,●,●,-,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,
中控屏幕尺寸,,,,,,
中央差速器结构,-,-,-,-,-,-
上市时间,2022.06,2022.06,2022.08,2022.06,2022.11,2023.03
上坡辅助,●,●,●,●,●,●
Wi-Fi热点,●,●,●,●,●,●
USB/Type-C接口数量,,,,,,
OTA升级,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●
HUD抬头数字显示,●,-,●,-,●,-
DOW开门预警,●,-,●,-,●,-
CLTC纯电续航里程(km)_y,560,535,500,535,535,400
CLTC纯电续航里程(km)_x,560,535,500,535,535,400
ABS防抱死,●,●,●,●,●,●
4G/5G网络,,,,,,
220V/230V电源,-,-,-,-,-,-
